Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,26999,529.0485,1000,,,,,,,,
,,,,,27000,,,-40.21411895751953,0.24476516246795654,0.5976380705833435,39.416465759277344,39.28139877319336,0.0003,0.0003,0.1
,,,,,27999,1621.7417,1000,,,,,,,,
,,,,,28000,,,-44.58564758300781,-0.047654666006565094,0.6301946640014648,43.455692291259766,43.631256103515625,0.0003,0.0003,0.1
,,,,,28999,1610.0668,1000,,,,,,,,
,,,,,29000,,,-49.43291473388672,0.36351361870765686,0.661130428314209,48.512840270996094,48.573974609375,0.0003,0.0003,0.1
,,,,,29999,1328.5806,1000,,,,,,,,
1507.0973,475.98645,1889.1053,667.5291,1000.0,30000,,,-56.64793395996094,-0.07137274742126465,0.5001571178436279,55.574974060058594,55.586997985839844,0.0003,0.0003,0.1
,,,,,30999,1158.7072,1000,,,,,,,,
,,,,,31000,,,-58.64313507080078,0.1257024109363556,0.4825113117694855,57.65131759643555,57.629058837890625,0.0003,0.0003,0.1
,,,,,31999,1744.7938,1000,,,,,,,,
,,,,,32000,,,-65.11009216308594,-0.05807145684957504,0.632217526435852,64.09331512451172,64.11205291748047,0.0003,0.0003,0.1
,,,,,32999,630.44324,1000,,,,,,,,
,,,,,33000,,,-67.48075866699219,0.05474972352385521,0.5546082854270935,66.52153778076172,66.70957946777344,0.0003,0.0003,0.1
,,,,,33999,783.46075,1000,,,,,,,,
,,,,,34000,,,-69.75083923339844,-0.03877536579966545,0.6408684253692627,68.89081573486328,68.70645141601562,0.0003,0.0003,0.1
,,,,,34999,1979.0507,1000,,,,,,,,
1980.5674,41.500225,2050.1853,1895.0214,1000.0,35000,,,-73.67455291748047,-0.3107779026031494,0.9122692346572876,72.65318298339844,72.7781982421875,0.0003,0.0003,0.1
,,,,,35999,2065.3794,1000,,,,,,,,
,,,,,36000,,,-73.26725769042969,-0.019377365708351135,0.5369588732719421,72.17178344726562,72.24946594238281,0.0003,0.0003,0.1
,,,,,36999,2016.3131,1000,,,,,,,,
,,,,,37000,,,-80.76008605957031,-0.13401912152767181,0.6710970997810364,79.78953552246094,79.74579620361328,0.0003,0.0003,0.1
,,,,,37999,707.59717,1000,,,,,,,,
