Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,21534,-56.088852,101,,,,,,
,,,,,21630,-390.39328,96,,,,,,
,,,,,21733,-57.01358,103,,,,,,
,,,,,21841,-128.97325,108,,,,,,
,,,,,21951,-99.18399,110,,,,,,
,,,,,22000,,,1.6941959857940674,-0.6519978046417236,-0.6416518688201904,10.757184982299805,0.868,0.001
,,,,,22024,-90.96755,73,,,,,,
,,,,,22098,-189.97632,74,,,,,,
,,,,,22228,-101.038506,130,,,,,,
,,,,,22331,-123.11248,103,,,,,,
,,,,,22423,-183.34706,92,,,,,,
,,,,,22541,-136.13235,118,,,,,,
,,,,,22669,-364.84354,128,,,,,,
,,,,,22777,-105.97354,108,,,,,,
,,,,,22856,-81.32301,79,,,,,,
,,,,,23000,,,33.78889083862305,-3.6640830039978027,-3.539064407348633,30.8712215423584,0.862,0.001
,,,,,23022,-469.96674,166,,,,,,
,,,,,23099,-87.16796,77,,,,,,
,,,,,23188,-63.889057,89,,,,,,
,,,,,23257,-105.21774,69,,,,,,
,,,,,23374,-161.29214,117,,,,,,
,,,,,23489,-12.863937,115,,,,,,
,,,,,23568,-344.43378,79,,,,,,
,,,,,23672,-86.64787,104,,,,,,
,,,,,23782,-83.83717,110,,,,,,
,,,,,23914,-55.218445,132,,,,,,
,,,,,23995,-83.353806,81,,,,,,
,,,,,24000,,,23.260522842407227,-1.8142536878585815,-0.8356572389602661,41.83974075317383,0.856,0.001
,,,,,24115,-114.935135,120,,,,,,
,,,,,24275,-170.33069,160,,,,,,
,,,,,24381,-211.91354,106,,,,,,
,,,,,24488,-113.54301,107,,,,,,
,,,,,24573,-59.28056,85,,,,,,
,,,,,24709,-148.3086,136,,,,,,
,,,,,24774,-82.9114,65,,,,,,
,,,,,24850,-168.22778,76,,,,,,
,,,,,24940,-132.60838,90,,,,,,
,,,,,25000,,,112.69163513183594,-0.7115830183029175,-3.0818634033203125,132.907470703125,0.85,0.001
,,,,,25006,-278.89307,66,,,,,,
,,,,,25112,-118.17058,106,,,,,,
,,,,,25231,-88.56119,119,,,,,,
,,,,,25327,-122.53877,96,,,,,,
,,,,,25425,-204.09729,98,,,,,,
,,,,,25512,35.273727,87,,,,,,
,,,,,25637,-108.155685,125,,,,,,
,,,,,25726,-102.744194,89,,,,,,
,,,,,25830,-46.019676,104,,,,,,
,,,,,25942,-81.10273,112,,,,,,
,,,,,26000,,,13.339848518371582,-0.670549213886261,-1.3607447147369385,42.833770751953125,0.844,0.001
,,,,,26047,-119.76468,105,,,,,,
,,,,,26188,2.8996353,141,,,,,,
,,,,,26308,-220.82964,120,,,,,,
,,,,,26441,-82.121185,133,,,,,,
,,,,,26502,-142.31322,61,,,,,,
,,,,,26589,-91.0128,87,,,,,,
,,,,,26728,-159.16208,139,,,,,,
,,,,,26792,-86.943245,64,,,,,,
,,,,,26930,-101.89416,138,,,,,,
,,,,,27000,,,1.785926103591919,2.8602421283721924,3.647533893585205,41.32129669189453,0.838,0.001
,,,,,27016,-166.46924,86,,,,,,
,,,,,27100,-103.68356,84,,,,,,
,,,,,27231,-166.66112,131,,,,,,
,,,,,27309,-322.97705,78,,,,,,
,,,,,27429,-122.97208,120,,,,,,
,,,,,27519,-148.94391,90,,,,,,
,,,,,27609,-54.11567,90,,,,,,
,,,,,27750,-323.53696,141,,,,,,
,,,,,27832,-57.709618,82,,,,,,
,,,,,27953,-191.206,121,,,,,,
,,,,,28000,,,24.23404884338379,1.3190650939941406,1.0759472846984863,62.863433837890625,0.832,0.001
,,,,,28082,-105.271324,129,,,,,,
