Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,5149,11.551876,15,,,,,,,,
,,,,,5187,24.468334,38,,,,,,,,
,,,,,5204,14.023779,17,,,,,,,,
,,,,,5241,11.128899,37,,,,,,,,
,,,,,5262,14.264936,21,,,,,,,,
,,,,,5278,9.87468,16,,,,,,,,
,,,,,5298,22.989618,20,,,,,,,,
,,,,,5319,19.254875,21,,,,,,,,
,,,,,5341,6.3359427,22,,,,,,,,
,,,,,5357,13.15989,16,,,,,,,,
,,,,,5369,9.435783,12,,,,,,,,
,,,,,5383,10.791953,14,,,,,,,,
,,,,,5419,24.821396,36,,,,,,,,
,,,,,5435,15.156086,16,,,,,,,,
,,,,,5471,35.535656,36,,,,,,,,
,,,,,5521,69.56895,50,,,,,,,,
,,,,,5536,11.791954,15,,,,,,,,
,,,,,5571,41.02182,35,,,,,,,,
,,,,,5588,17.559372,17,,,,,,,,
,,,,,5602,8.853666,14,,,,,,,,
,,,,,5619,13.455204,17,,,,,,,,
,,,,,5634,12.563877,15,,,,,,,,
,,,,,5648,10.370985,14,,,,,,,,
,,,,,5665,18.307257,17,,,,,,,,
,,,,,5684,16.105648,19,,,,,,,,
,,,,,5699,10.786818,15,,,,,,,,
,,,,,5713,11.771172,14,,,,,,,,
,,,,,5725,8.728897,12,,,,,,,,
,,,,,5736,9.702793,11,,,,,,,,
,,,,,5750,10.5677185,14,,,,,,,,
,,,,,5777,30.585949,27,,,,,,,,
,,,,,5811,37.92475,34,,,,,,,,
,,,,,5834,9.113171,23,,,,,,,,
,,,,,5849,11.665079,15,,,,,,,,
,,,,,5866,12.978081,17,,,,,,,,
,,,,,5888,22.672798,22,,,,,,,,
,,,,,5907,20.924871,19,,,,,,,,
,,,,,5928,16.236065,21,,,,,,,,
,,,,,5954,34.70027,26,,,,,,,,
,,,,,5974,22.344847,20,,,,,,,,
,,,,,6004,22.209234,30,,,,,,,,
,,,,,6026,20.303709,22,,,,,,,,
,,,,,6045,13.529609,19,,,,,,,,
,,,,,6059,13.365743,14,,,,,,,,
,,,,,6074,14.014556,15,,,,,,,,
,,,,,6090,16.557934,16,,,,,,,,
,,,,,6122,26.66925,32,,,,,,,,
,,,,,6139,17.421185,17,,,,,,,,
,,,,,6167,16.382391,28,,,,,,,,
,,,,,6224,80.735275,57,,,,,,,,
,,,,,6286,35.742542,62,,,,,,,,
,,,,,6336,70.23618,50,,,,,,,,
,,,,,6351,13.878438,15,,,,,,,,
,,,,,6377,23.163956,26,,,,,,,,
,,,,,6409,16.396936,32,,,,,,,,
,,,,,6426,18.138311,17,,,,,,,,
,,,,,6445,9.404623,19,,,,,,,,
,,,,,6494,85.36215,49,,,,,,,,
,,,,,6517,27.342388,23,,,,,,,,
,,,,,6534,14.601098,17,,,,,,,,
,,,,,6572,50.718628,38,,,,,,,,
,,,,,6584,10.257727,12,,,,,,,,
,,,,,6620,34.063633,36,,,,,,,,
,,,,,6639,21.025646,19,,,,,,,,
,,,,,6658,13.056917,19,,,,,,,,
,,,,,6712,49.910397,54,,,,,,,,
,,,,,6737,32.638252,25,,,,,,,,
,,,,,6771,43.482258,34,,,,,,,,
,,,,,6783,11.24378,12,,,,,,,,
,,,,,6800,13.360279,17,,,,,,,,
