Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,10247,15.0,15,,,,,,
,,,,,10306,59.0,59,,,,,,
,,,,,10347,41.0,41,,,,,,
,,,,,10396,49.0,49,,,,,,
,,,,,10434,38.0,38,,,,,,
,,,,,10476,42.0,42,,,,,,
,,,,,10538,62.0,62,,,,,,
,,,,,10566,28.0,28,,,,,,
,,,,,10582,16.0,16,,,,,,
,,,,,10650,68.0,68,,,,,,
,,,,,10672,22.0,22,,,,,,
,,,,,10683,11.0,11,,,,,,
,,,,,10719,36.0,36,,,,,,
,,,,,10817,98.0,98,,,,,,
,,,,,10873,56.0,56,,,,,,
,,,,,10917,44.0,44,,,,,,
,,,,,10935,18.0,18,,,,,,
,,,,,10951,16.0,16,,,,,,
,,,,,10988,37.0,37,,,,,,
,,,,,11000,,,0.21467000246047974,8.66943359375,8.606216430664062,2.055645704269409,0.67,0.0005
,,,,,11012,24.0,24,,,,,,
,,,,,11039,27.0,27,,,,,,
,,,,,11067,28.0,28,,,,,,
,,,,,11129,62.0,62,,,,,,
,,,,,11143,14.0,14,,,,,,
,,,,,11184,41.0,41,,,,,,
,,,,,11212,28.0,28,,,,,,
,,,,,11244,32.0,32,,,,,,
,,,,,11276,32.0,32,,,,,,
,,,,,11293,17.0,17,,,,,,
,,,,,11327,34.0,34,,,,,,
,,,,,11377,50.0,50,,,,,,
,,,,,11443,66.0,66,,,,,,
,,,,,11462,19.0,19,,,,,,
,,,,,11488,26.0,26,,,,,,
,,,,,11508,20.0,20,,,,,,
,,,,,11519,11.0,11,,,,,,
,,,,,11539,20.0,20,,,,,,
,,,,,11552,13.0,13,,,,,,
,,,,,11571,19.0,19,,,,,,
,,,,,11616,45.0,45,,,,,,
,,,,,11661,45.0,45,,,,,,
,,,,,11702,41.0,41,,,,,,
,,,,,11795,93.0,93,,,,,,
,,,,,11876,81.0,81,,,,,,
,,,,,11901,25.0,25,,,,,,
,,,,,11925,24.0,24,,,,,,
,,,,,11958,33.0,33,,,,,,
,,,,,12000,,,0.016572928056120872,9.83694076538086,9.849542617797852,0.4638769030570984,0.6399999999999999,0.0005
,,,,,12007,49.0,49,,,,,,
,,,,,12046,39.0,39,,,,,,
,,,,,12073,27.0,27,,,,,,
,,,,,12134,61.0,61,,,,,,
,,,,,12146,12.0,12,,,,,,
,,,,,12200,54.0,54,,,,,,
,,,,,12221,21.0,21,,,,,,
,,,,,12263,42.0,42,,,,,,
,,,,,12304,41.0,41,,,,,,
,,,,,12343,39.0,39,,,,,,
,,,,,12430,87.0,87,,,,,,
,,,,,12480,50.0,50,,,,,,
,,,,,12496,16.0,16,,,,,,
169.7,41.332916,229.0,121.0,169.7,12500,,,0.03226007893681526,11.105562210083008,11.123562812805176,0.372545063495636,0.625,0.0005
,,,,,12532,36.0,36,,,,,,
,,,,,12560,28.0,28,,,,,,
,,,,,12576,16.0,16,,,,,,
,,,,,12594,18.0,18,,,,,,
,,,,,12610,16.0,16,,,,,,
,,,,,12624,14.0,14,,,,,,
,,,,,12670,46.0,46,,,,,,
,,,,,12684,14.0,14,,,,,,
,,,,,12724,40.0,40,,,,,,
,,,,,12829,105.0,105,,,,,,
,,,,,12890,61.0,61,,,,,,
,,,,,12913,23.0,23,,,,,,
,,,,,12979,66.0,66,,,,,,
,,,,,13000,,,0.01950080692768097,10.663381576538086,10.667739868164062,0.44545111060142517,0.61,0.0005
,,,,,13007,28.0,28,,,,,,
,,,,,13051,44.0,44,,,,,,
,,,,,13074,23.0,23,,,,,,
,,,,,13122,48.0,48,,,,,,
,,,,,13175,53.0,53,,,,,,
,,,,,13232,57.0,57,,,,,,
,,,,,13261,29.0,29,,,,,,
,,,,,13287,26.0,26,,,,,,
,,,,,13303,16.0,16,,,,,,
,,,,,13343,40.0,40,,,,,,
,,,,,13358,15.0,15,,,,,,
,,,,,13390,32.0,32,,,,,,
,,,,,13404,14.0,14,,,,,,
,,,,,13440,36.0,36,,,,,,
,,,,,13505,65.0,65,,,,,,
,,,,,13559,54.0,54,,,,,,
,,,,,13586,27.0,27,,,,,,
,,,,,13626,40.0,40,,,,,,
,,,,,13639,13.0,13,,,,,,
,,,,,13705,66.0,66,,,,,,
,,,,,13715,10.0,10,,,,,,
,,,,,13773,58.0,58,,,,,,
,,,,,13838,65.0,65,,,,,,
,,,,,13849,11.0,11,,,,,,
,,,,,13875,26.0,26,,,,,,
,,,,,13919,44.0,44,,,,,,
,,,,,13950,31.0,31,,,,,,
,,,,,14000,50.0,50,,,,,,
,,,,,14000,,,0.64869624376297,10.935858726501465,10.849630355834961,3.6382086277008057,0.58,0.0005
,,,,,14013,13.0,13,,,,,,
,,,,,14030,17.0,17,,,,,,
,,,,,14105,75.0,75,,,,,,
,,,,,14122,17.0,17,,,,,,
,,,,,14174,52.0,52,,,,,,
,,,,,14221,47.0,47,,,,,,
,,,,,14261,40.0,40,,,,,,
,,,,,14379,118.0,118,,,,,,
,,,,,14449,70.0,70,,,,,,
,,,,,14470,21.0,21,,,,,,
,,,,,14531,61.0,61,,,,,,
,,,,,14598,67.0,67,,,,,,
,,,,,14639,41.0,41,,,,,,
,,,,,14667,28.0,28,,,,,,
,,,,,14678,11.0,11,,,,,,
,,,,,14709,31.0,31,,,,,,
,,,,,14722,13.0,13,,,,,,
,,,,,14811,89.0,89,,,,,,
,,,,,14871,60.0,60,,,,,,
,,,,,14882,11.0,11,,,,,,
,,,,,14916,34.0,34,,,,,,
,,,,,14948,32.0,32,,,,,,
,,,,,14977,29.0,29,,,,,,
99.8,18.723248,136.0,69.0,99.8,15000,,,0.04221480339765549,12.444496154785156,12.471607208251953,1.4093017578125,0.55,0.0005
,,,,,15006,29.0,29,,,,,,
,,,,,15019,13.0,13,,,,,,
,,,,,15104,85.0,85,,,,,,
,,,,,15159,55.0,55,,,,,,
,,,,,15184,25.0,25,,,,,,
,,,,,15255,71.0,71,,,,,,
,,,,,15308,53.0,53,,,,,,
,,,,,15375,67.0,67,,,,,,
,,,,,15406,31.0,31,,,,,,
,,,,,15459,53.0,53,,,,,,
,,,,,15471,12.0,12,,,,,,
,,,,,15482,11.0,11,,,,,,
,,,,,15582,100.0,100,,,,,,
,,,,,15610,28.0,28,,,,,,
,,,,,15624,14.0,14,,,,,,
,,,,,15657,33.0,33,,,,,,
,,,,,15701,44.0,44,,,,,,
,,,,,15749,48.0,48,,,,,,
,,,,,15789,40.0,40,,,,,,
,,,,,15819,30.0,30,,,,,,
,,,,,15880,61.0,61,,,,,,
,,,,,15916,36.0,36,,,,,,
,,,,,15934,18.0,18,,,,,,
,,,,,15984,50.0,50,,,,,,
,,,,,16000,16.0,16,,,,,,
,,,,,16000,,,0.058737508952617645,13.310813903808594,13.337556838989258,1.4884761571884155,0.52,0.0005
,,,,,16064,64.0,64,,,,,,
,,,,,16096,32.0,32,,,,,,
