Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,4949,8.919744,11,,,,,,,,
,,,,,4970,15.544966,21,,,,,,,,
,,,,,4988,9.598103,18,,,,,,,,
16.947968,9.13054,39.804462,8.095792,21.6,5000,,,,,,,,,,
,,,,,5003,8.969663,15,,,,,,,,
,,,,,5019,15.053162,16,,,,,,,,
,,,,,5044,27.640223,25,,,,,,,,
,,,,,5055,7.938262,11,,,,,,,,
,,,,,5065,7.964099,10,,,,,,,,
,,,,,5090,16.300491,25,,,,,,,,
,,,,,5113,20.243982,23,,,,,,,,
,,,,,5150,24.377413,37,,,,,,,,
,,,,,5169,13.376976,19,,,,,,,,
,,,,,5207,15.867553,38,,,,,,,,
,,,,,5225,12.734044,18,,,,,,,,
,,,,,5243,11.957514,18,,,,,,,,
,,,,,5262,20.346628,19,,,,,,,,
,,,,,5284,20.686338,22,,,,,,,,
,,,,,5306,7.518989,22,,,,,,,,
,,,,,5322,13.294194,16,,,,,,,,
,,,,,5336,10.109568,14,,,,,,,,
,,,,,5355,13.936685,19,,,,,,,,
,,,,,5387,25.094814,32,,,,,,,,
,,,,,5419,34.51093,32,,,,,,,,
,,,,,5441,18.584171,22,,,,,,,,
,,,,,5482,42.109596,41,,,,,,,,
,,,,,5502,21.658918,20,,,,,,,,
,,,,,5532,33.3317,30,,,,,,,,
,,,,,5550,20.032024,18,,,,,,,,
,,,,,5565,8.588819,15,,,,,,,,
,,,,,5583,15.793969,18,,,,,,,,
,,,,,5599,13.786801,16,,,,,,,,
,,,,,5613,8.985171,14,,,,,,,,
,,,,,5628,15.486598,15,,,,,,,,
,,,,,5647,16.718187,19,,,,,,,,
,,,,,5663,12.530908,16,,,,,,,,
,,,,,5678,12.738396,15,,,,,,,,
,,,,,5689,8.137649,11,,,,,,,,
,,,,,5700,9.3585005,11,,,,,,,,
,,,,,5714,10.609945,14,,,,,,,,
,,,,,5742,32.854897,28,,,,,,,,
,,,,,5774,32.442585,32,,,,,,,,
,,,,,5798,11.385514,24,,,,,,,,
,,,,,5813,10.512147,15,,,,,,,,
,,,,,5830,12.961531,17,,,,,,,,
,,,,,5852,22.671276,22,,,,,,,,
,,,,,5870,19.049442,18,,,,,,,,
,,,,,5893,15.016964,23,,,,,,,,
,,,,,5918,31.803965,25,,,,,,,,
,,,,,5937,21.162409,19,,,,,,,,
,,,,,5972,32.025505,35,,,,,,,,
,,,,,5989,17.137953,17,,,,,,,,
,,,,,6009,13.13519,20,,,,,,,,
,,,,,6022,11.977619,13,,,,,,,,
,,,,,6038,14.36776,16,,,,,,,,
,,,,,6053,14.630629,15,,,,,,,,
,,,,,6080,17.924791,27,,,,,,,,
,,,,,6102,17.811586,22,,,,,,,,
,,,,,6131,15.716256,29,,,,,,,,
,,,,,6187,78.41608,56,,,,,,,,
,,,,,6206,16.39715,19,,,,,,,,
,,,,,6227,14.768326,21,,,,,,,,
,,,,,6265,13.197585,38,,,,,,,,
,,,,,6298,54.297604,33,,,,,,,,
,,,,,6318,20.05257,20,,,,,,,,
,,,,,6342,20.26144,24,,,,,,,,
,,,,,6375,15.421813,33,,,,,,,,
,,,,,6391,16.355587,16,,,,,,,,
,,,,,6409,9.432142,18,,,,,,,,
,,,,,6459,87.52125,50,,,,,,,,
,,,,,6493,45.341957,34,,,,,,,,
,,,,,6503,8.534632,10,,,,,,,,
,,,,,6540,37.309437,37,,,,,,,,
,,,,,6572,24.123306,32,,,,,,,,
,,,,,6603,30.546787,31,,,,,,,,
,,,,,6622,12.768625,19,,,,,,,,
,,,,,6677,51.487366,55,,,,,,,,
,,,,,6702,33.02682,25,,,,,,,,
,,,,,6730,31.752304,28,,,,,,,,
,,,,,6747,12.35882,17,,,,,,,,
,,,,,6764,13.489181,17,,,,,,,,
,,,,,6776,7.712411,12,,,,,,,,
,,,,,6805,20.427053,29,,,,,,,,
,,,,,6826,15.043351,21,,,,,,,,
,,,,,6840,9.89652,14,,,,,,,,
,,,,,6857,10.881359,17,,,,,,,,
,,,,,6875,13.698001,18,,,,,,,,
,,,,,6890,15.597518,15,,,,,,,,
,,,,,6915,13.170458,25,,,,,,,,
,,,,,6924,7.085381,9,,,,,,,,
,,,,,6943,15.016921,19,,,,,,,,
